,ProbablyMeantGSTerm,SemanticType,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,adjustedQueryTerm,preferredTerm,ui
2661,hemoglobin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",21,,,,,,,mobile legends,Hemoglobin,C0019046
2799,lipoprotein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",159,,,,,,,ciproflaxin,Lipoproteins,C0023820
66,hemoglobin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",,,,,,,,nlmc,Hemoglobin,C0019046
122,potassium channel,"Amino Acid, Peptide, or Protein|Biologically Active Substance",,,,,,,,sistema endocrino,Potassium Channel,C0032824
130,homocysteine,"Amino Acid, Peptide, or Protein|Biologically Active Substance",,,,,,,,ulceras por presion,homocysteine,C0019878
154,growth factor,"Amino Acid, Peptide, or Protein|Biologically Active Substance",,,,,,,,tainos,Growth Factor,C0018284
313,fibrin,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",313,313,313,313,313,313,313,fibrina,Fibrin,C0015982
1168,tryptophan,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",1168,1168,1168,1168,1168,1168,1168,l-tryptophan,Tryptophan,C0041249
1169,citrulline,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",1169,1169,1169,1169,1169,1169,1169,l-citrulline,Citrulline,C0008864
1171,l arginine,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",1171,1171,1171,1171,1171,1171,1171,l-arcinine,Arginine,C0003765
1619,trypsin inhibitors,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",1619,1619,1619,1619,1619,1619,1619,tryspsin inhibitors,Trypsin Inhibitors,C0041242
1745,taurine,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",1745,1745,1745,1745,1745,1745,9,taurin,Taurine,C0039350
1805,aminoacids,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",1805,1805,1805,1805,1805,1805,69,aminoacidos,Amino Acids,C0002520
2300,fibrinogen,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",2300,2300,21,,,,,leucemia,Fibrinogen,C0016006
2349,amino acid,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",2349,2349,70,,,,,latina birth paradox,Amino Acids,C0002520
50,recaldent,"Amino Acid, Peptide, or Protein|Biomedical or Dental Material",,,,,,,,super bacteria,Recaldent,C1120339
750,na/k atpase,"Amino Acid, Peptide, or Protein|Enzyme",750,750,750,750,750,750,750,na-k atpse,Na(+)-K(+)-Exchanging ATPase,C0001479
1151,lactate dehydrogenase,"Amino Acid, Peptide, or Protein|Enzyme",1151,1151,1151,1151,1151,1151,1151,lactate deshidrogenase,Lactate Dehydrogenase,C0022917
1441,topoisomerase,"Amino Acid, Peptide, or Protein|Enzyme",1441,1441,1441,1441,1441,1441,1441,topoisomerse2,Topoisomerase,C1336767
1496,sodium potassium pump,"Amino Acid, Peptide, or Protein|Enzyme",1496,1496,1496,1496,1496,1496,1496,sodium postassium pump,Na(+)-K(+)-Exchanging ATPase,C0001479
1497,sodium potassium pump,"Amino Acid, Peptide, or Protein|Enzyme",1497,1497,1497,1497,1497,1497,1497,sodium potassium umo,Na(+)-K(+)-Exchanging ATPase,C0001479
1625,transglutaminase,"Amino Acid, Peptide, or Protein|Enzyme",1625,1625,1625,1625,1625,1625,1625,transglutaminse,Transglutaminases,C0033679
1834,protease,"Amino Acid, Peptide, or Protein|Enzyme",1834,1834,1834,1834,1834,1834,98,proteas,Peptide Hydrolases,C0030940
1908,matrix metalloproteinase,"Amino Acid, Peptide, or Protein|Enzyme",1908,1908,1908,1908,1908,43,,medical terminology,Matrix Metalloproteinases,C0623362
2056,matrix metalloproteinase,"Amino Acid, Peptide, or Protein|Enzyme",2056,2056,2056,2056,71,,,microagulhamento,Matrix Metalloproteinases,C0623362
2436,caspase,"Amino Acid, Peptide, or Protein|Enzyme",2436,2436,157,,,,,feminicidio,caspase,C0010656
2583,metalloproteinases,"Amino Acid, Peptide, or Protein|Enzyme",2583,146,,,,,,exercise chronic pain,Metalloproteases,C0025543
168,streptokinase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",168,168,168,168,168,168,168,streptokinse,Streptokinase,C0038418
586,superoxide dismutase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",586,586,586,586,586,586,586,superoxido dismutase,Superoxide Dismutase,C0038838
1148,lactase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",1148,1148,1148,1148,1148,1148,1148,lactrase,beta-Galactosidase,C0005220
1183,lipase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",1183,1183,1183,1183,1183,1183,1183,lipaase,Lipase,C0023764
317,pro-opiomelanocortin,"Amino Acid, Peptide, or Protein|Hormone",317,317,317,317,317,317,317,propiomelanocortin,Pro-Opiomelanocortin,C0033195
729,ghrelin,"Amino Acid, Peptide, or Protein|Hormone",729,729,729,729,729,729,729,grelin,ghrelin,C0911014
1201,leptin,"Amino Acid, Peptide, or Protein|Hormone",1201,1201,1201,1201,1201,1201,1201,leptina,leptin,C0299583
2248,leptin,"Amino Acid, Peptide, or Protein|Hormone",2248,2248,2248,151,,,,intellectual disabilities,leptin,C0299583
13,human growth hormone,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",13,13,13,13,13,13,13,human growth horomone,Somatropin,C0169964
36,insulin,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",36,36,36,36,36,36,36,insuline,Insulin,C0021641
107,recombinant insulin,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",107,107,107,107,107,107,107,recombinant dna insulin,Recombinant Insulin,C1533581
604,insulin,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",604,604,604,604,604,604,604,insulina,Insulin,C0021641
1198,levothyroxine,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",1198,1198,1198,1198,1198,1198,1198,levothyroxin,levothyroxine,C0040165
1199,levothyroxine,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",1199,1199,1199,1199,1199,1199,1199,levotyroxine,levothyroxine,C0040165
2557,growth hormone,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",2557,120,,,,,,american indian movement,Growth Hormone,C0037663
2688,anti-mullerian hormone,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",48,,,,,,,diet cytogenic,mullerian-inhibiting hormone,C0066928
28,hypertensin,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",,,,,,,,pediatria,Hypertensin,C0947663
408,aminoplex,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",408,408,408,408,408,408,408,amino-plex,AMINOPLEX,C0308317
506,protein supplementation,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",506,506,506,506,506,506,506,whey protein supplementation,Protein supplement,C0770246
1687,protein supplements,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",1687,1687,1687,1687,1687,1687,1687,protein supplements use,Protein supplement,C0770246
1895,bpc 157,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",1895,1895,1895,1895,1895,30,,acupuncture brain injury,BPC 157,C0248070
2089,bpc 157,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",2089,2089,2089,2089,104,,,share a link on twitter,BPC 157,C0248070
2467,cyclosporine,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",2467,30,,,,,,jnk cardiac hypertrophy,Cyclosporine,C0010592
2487,aspartame,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",2487,50,,,,,,korsakoffs syndrome,Aspartame,C0003999
2560,casein,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",2560,123,,,,,,map viewer,Caseins,C0007332
2578,collagen,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",2578,141,,,,,,john dove,Collagen,C0009325
138,gcmaf,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",,,,,,,,il-2,vitamin D-binding protein-macrophage activating factor,C0530774
25,pilonidal sinus,Anatomical Abnormality,25,25,25,25,25,25,25,pilonidal sinüs,Pilonidal Cyst,C0031925
331,scoliosis,Anatomical Abnormality,331,331,331,331,331,331,331,escoliosis,"Scoliosis, unspecified",C0036439
2186,inguinal hernia,Anatomical Abnormality,2186,2186,2186,89,,,,bipolar disorder in children,"Hernia, Inguinal",C0019294
2376,hernia,Anatomical Abnormality,2376,2376,97,,,,,guyton,Hernia,C0019270
2555,cavitation,Anatomical Abnormality,2555,118,,,,,,taino,Cavitation,C1510420
2678,hernia,Anatomical Abnormality,38,,,,,,,low carb diet,Hernia,C0019270
40,hammer toe,Anatomical Abnormality,,,,,,,,radiologia,Hammer Toe,C1136179
1845,stoma,Anatomical Structure,1845,1845,1845,1845,1845,1845,109,stomia,Surgical Stoma,C1955856
415,animal,Animal,415,415,415,415,415,415,415,animalx,Animals,C0003062
1626,transgenics,Animal,1626,1626,1626,1626,1626,1626,1626,transgenicos,"Animals, Transgenic",C0003069
583,antibiotics,Antibiotic,583,583,583,583,583,583,583,antibotics,Antibiotics,C0003232
2315,antibiotics,Antibiotic,2315,2315,36,,,,,my ncbi,Antibiotics,C0003232
69,antibiotics,Antibiotic,,,,,,,,cancer de prostata,Antibiotics,C0003232
19,e coli,Bacterium,19,19,19,19,19,19,19,ecoli,Escherichia coli,C0014834
84,bacillus subtilis,Bacterium,84,84,84,84,84,84,84,bacillus subtillis,Bacillus subtilis,C0004595
200,chlamydia,Bacterium,200,200,200,200,200,200,200,clamydia,Chlamydia,C0008148
320,pseudomonas,Bacterium,320,320,320,320,320,320,320,pseumonas,Pseudomonas,C0033808
634,cyanobacteria,Bacterium,634,634,634,634,634,634,634,cynobacteria,Cyanobacteria,C1047211
694,clostridium tetani,Bacterium,694,694,694,694,694,694,694,clostridum tetany,Clostridium tetani,C0009064
818,listeria fleischmannii,Bacterium,818,818,818,818,818,818,818,listeria fleischmann,Listeria fleischmannii,C3558003
826,enterococcus faecalis,Bacterium,826,826,826,826,826,826,826,enterococo faecalis,Enterococcus faecalis,C0038404
1145,lactobacillus,Bacterium,1145,1145,1145,1145,1145,1145,1145,lactobaccilus,Lactobacillus,C0022938
1146,lactobacillus,Bacterium,1146,1146,1146,1146,1146,1146,1146,lactobacilus,Lactobacillus,C0022938
1298,negative gram bacteria,Bacterium,1298,1298,1298,1298,1298,1298,1298,negetive gram bacteria,Gram-Negative Bacteria,C0018150
1480,spirulina,Bacterium,1480,1480,1480,1480,1480,1480,1480,spirlina,Spirulina <bacterium>,C0075026
1483,spirulina,Bacterium,1483,1483,1483,1483,1483,1483,1483,spirulin,Spirulina <bacterium>,C0075026
1484,staphylococcus aureus,Bacterium,1484,1484,1484,1484,1484,1484,1484,staphilococcus aureus,Staphylococcus aureus,C0038172
1485,staphylococcus epidermidis,Bacterium,1485,1485,1485,1485,1485,1485,1485,staphlyococcus epidermidis,Staphylococcus epidermidis,C0038174
1486,staphylococcus aureus,Bacterium,1486,1486,1486,1486,1486,1486,1486,staphyloccocus aureus,Staphylococcus aureus,C0038172
1487,staphylococcus epidermidis,Bacterium,1487,1487,1487,1487,1487,1487,1487,staphylococcus epidermis,Staphylococcus epidermidis,C0038174
1488,staphylococcus aureus,Bacterium,1488,1488,1488,1488,1488,1488,1488,staphylococcus ure is,Staphylococcus aureus,C0038172
1549,streptococcus suis,Bacterium,1549,1549,1549,1549,1549,1549,1549,streptcoccus suis,Streptococcus suis,C0085520
1667,ureaplasma parvum,Bacterium,1667,1667,1667,1667,1667,1667,1667,ureaplazma parvum,Ureaplasma parvum,C1065064
1683,pseudomonas fluorescens,Bacterium,1683,1683,1683,1683,1683,1683,1683,pseudomonas floresencs,Pseudomonas fluorescens,C0033811
1684,pseudomonas fluorescens,Bacterium,1684,1684,1684,1684,1684,1684,1684,pseudomonas fluorescens a506,Pseudomonas fluorescens,C0033811
1703,probiotics,Bacterium,1703,1703,1703,1703,1703,1703,1703,probioticos,Probiotics,C0525033
1806,aphanizomenon flos-aquae,Bacterium,1806,1806,1806,1806,1806,1806,70,aphanizomenonflosaquae,APHANIZOMENON FLOS-AQUAE,C0331721
1906,thiorhodococcus minus,Bacterium,1906,1906,1906,1906,1906,41,,colin pitchfork,Thiorhodococcus minor,C1020189
2060,thiorhodococcus minus,Bacterium,2060,2060,2060,2060,75,,,medical abortion,Thiorhodococcus minor,C1020189
2148,neisseria meningitidis,Bacterium,2148,2148,2148,51,,,,work stress,Neisseria meningitidis,C0027575
2322,escherichia coli,Bacterium,2322,2322,43,,,,,handout,Escherichia coli,C0014834
1306,mental health and behavior,Behavior,1306,1306,1306,1306,1306,1306,1306,mental health and behavoir,Mental health.behavior,C1832070
2423,homeostasis,Biologic Function,2423,2423,144,,,,,hypertension definition,Homeostasis,C0019868
2617,drug resistance,Biologic Function,2617,180,,,,,,pnf,Drug resistance,C0013203
522,neurotransmitter,Biologically Active Substance,522,522,522,522,522,522,522,neurotransmiser,Neurotransmitters,C0027908
787,hemohim,Biologically Active Substance,787,787,787,787,787,787,787,hemo him,HemoHIM,C2354458
2549,cancer biomarker,Biologically Active Substance,2549,112,,,,,,breast mri,Tumor Markers,C0041365
2660,natural products,Biologically Active Substance,20,,,,,,,hmis rating scale,Natural Products,C1566558
736,gutgard,Biologically Active Substance|Pharmacologic Substance,736,736,736,736,736,736,736,gut gard,GutGard,C2973758
742,gutgard,Biologically Active Substance|Pharmacologic Substance,742,742,742,742,742,742,742,gutguard,GutGard,C2973758
744,gutgard,Biologically Active Substance|Pharmacologic Substance,744,744,744,744,744,744,744,gutigard,GutGard,C2973758
846,potassium,"Biologically Active Substance|Pharmacologic Substance|Element, Ion, or Isotope",846,846,846,846,846,846,846,potasium,Potassium,C0032821
1069,oxygen,"Biologically Active Substance|Pharmacologic Substance|Element, Ion, or Isotope",1069,1069,1069,1069,1069,1069,1069,oxygene,Oxygen,C0030054
508,nitrous oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,508,508,508,508,508,508,508,nitrous oxide er,Nitrous Oxide,C0028215
983,nitrous oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,983,983,983,983,983,983,983,nitrous oxcide,Nitrous Oxide,C0028215
1495,sodium chloride,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,1495,1495,1495,1495,1495,1495,1495,sodium chlorid,Sodium Chloride,C0037494
12,acupuncture,Biomedical Occupation or Discipline,12,12,12,12,12,12,12,acupunture,Acupuncture therapy discipline,C0001299
14,embryology,Biomedical Occupation or Discipline,14,14,14,14,14,14,14,embriology,Embryology,C0013942
34,psychology,Biomedical Occupation or Discipline,34,34,34,34,34,34,34,psycology,Psychology,C0033909
56,orthopedic surgery,Biomedical Occupation or Discipline,56,56,56,56,56,56,56,ortopedics surgery,Orthopedics,C0029355
62,genetics,Biomedical Occupation or Discipline,62,62,62,62,62,62,62,gentics,Science of genetics,C0017398
127,industrial microbiology,Biomedical Occupation or Discipline,127,127,127,127,127,127,127,industrialmicrobiology,Industrial Microbiology,C0021262
153,medical informatics,Biomedical Occupation or Discipline,153,153,153,153,153,153,153,biomedical informatics,Clinical Informatics,C0008960
186,surgery,Biomedical Occupation or Discipline,186,186,186,186,186,186,186,sugery,Surgery specialty,C0038894
199,clinical chemistry,Biomedical Occupation or Discipline,199,199,199,199,199,199,199,clinical biochemistry,"Chemistry, Clinical",C0008000
207,complementary medicine,Biomedical Occupation or Discipline,207,207,207,207,207,207,207,complimentary medicine,Complementary Medicine,C1148474
264,clinical pharmacology,Biomedical Occupation or Discipline,264,264,264,264,264,264,264,non clinical pharmacology,Clinical pharmacology discipline,C0031332
301,family medicine,Biomedical Occupation or Discipline,301,301,301,301,301,301,301,family medice,family medicine (field),C0015607
308,psychiatry,Biomedical Occupation or Discipline,308,308,308,308,308,308,308,phychiatry,Psychiatry Specialty,C0033873
339,ophthalmology,Biomedical Occupation or Discipline,339,339,339,339,339,339,339,opthamology,Ophthalmology specialty,C0029087
342,nutrigenomic,Biomedical Occupation or Discipline,342,342,342,342,342,342,342,nutrigenomica,Nutrigenomics,C1956006
348,pediatric,Biomedical Occupation or Discipline,348,348,348,348,348,348,348,pediatrica,Pediatrics,C0030755
360,anesthesiology,Biomedical Occupation or Discipline,360,360,360,360,360,360,360,anasthesiology,Anesthesiology,C0002930
385,acupuncture,Biomedical Occupation or Discipline,385,385,385,385,385,385,385,accupunture,Acupuncture therapy discipline,C0001299
395,biomedical,Biomedical Occupation or Discipline,395,395,395,395,395,395,395,biomedica,Biomedicine,C1879848
432,neuroscience,Biomedical Occupation or Discipline,432,432,432,432,432,432,432,neuro science,Neuroscience discipline,C0027910
441,nursing transcultural,Biomedical Occupation or Discipline,441,441,441,441,441,441,441,nursing transculturale,Transcultural Nursing,C0085288
461,occupational medicine,Biomedical Occupation or Discipline,461,461,461,461,461,461,461,occupacional medicine,occupational medicine field,C0028802
482,obstetric,Biomedical Occupation or Discipline,482,482,482,482,482,482,482,obsteric,Discipline of obstetrics,C0028773
483,obstetric,Biomedical Occupation or Discipline,483,483,483,483,483,483,483,obstectric,Discipline of obstetrics,C0028773
488,nutrition,Biomedical Occupation or Discipline,488,488,488,488,488,488,488,nnutrition,Science of nutrition,C0028707
530,neuroscience,Biomedical Occupation or Discipline,530,530,530,530,530,530,530,neuroscienze,Neuroscience discipline,C0027910
566,health informatics,Biomedical Occupation or Discipline,566,566,566,566,566,566,566,healthcare informatics,Clinical Informatics,C0008960
578,ophthalmology,Biomedical Occupation or Discipline,578,578,578,578,578,578,578,ophtalmology,Ophthalmology specialty,C0029087
627,health informatics,Biomedical Occupation or Discipline,627,627,627,627,627,627,627,health inforamtics,Clinical Informatics,C0008960
638,neurosurgery,Biomedical Occupation or Discipline,638,638,638,638,638,638,638,urosurgery,Science of neurosurgery,C0027926
665,gastroenterology,Biomedical Occupation or Discipline,665,665,665,665,665,665,665,ec gastroenterology,gastroenterology (field),C0017163
669,pathology,Biomedical Occupation or Discipline,669,669,669,669,669,669,669,patology,Pathology,C0030664
739,cosmetic surgery,Biomedical Occupation or Discipline,739,739,739,739,739,739,739,cosmetic surgey,Cosmetic surgery specialty,C0079169
740,gynecology,Biomedical Occupation or Discipline,740,740,740,740,740,740,740,gynekology,Gynecology,C0018417
794,nutrition,Biomedical Occupation or Discipline,794,794,794,794,794,794,794,nutition,Science of nutrition,C0028707
842,palliative nurse care,Biomedical Occupation or Discipline,842,842,842,842,842,842,842,paliative nurse care,Hospice and Palliative Care Nursing,C0557533
869,pediatrics cardiology,Biomedical Occupation or Discipline,869,869,869,869,869,869,869,pediatrics cardilogy,Pediatric cardiology specialty,C1321166
919,pediatric dentistry,Biomedical Occupation or Discipline,919,919,919,919,919,919,919,pediatric dentistry fem,Pediatric Dentistry Specialty,C0030763
946,orthopedics,Biomedical Occupation or Discipline,946,946,946,946,946,946,946,ortopedics,Orthopedics,C0029355
947,orthopedic,Biomedical Occupation or Discipline,947,947,947,947,947,947,947,ortopedic,Orthopedics,C0029355
962,orthopaedics and trauma,Biomedical Occupation or Discipline,962,962,962,962,962,962,962,ortho paedics and trauma,Trauma & orthopedics,C1274117
963,orthodontia,Biomedical Occupation or Discipline,963,963,963,963,963,963,963,orthodont,Orthodontics speciality,C0029335
1017,palliative medicine,Biomedical Occupation or Discipline,1017,1017,1017,1017,1017,1017,1017,paliative medicine,Palliative Medicine,C0282281
1022,obstetrics,Biomedical Occupation or Discipline,1022,1022,1022,1022,1022,1022,1022,obstretics,Discipline of obstetrics,C0028773
1050,public health,Biomedical Occupation or Discipline,1050,1050,1050,1050,1050,1050,1050,oublic health,public health medicine (field),C0034019
1058,neurology,Biomedical Occupation or Discipline,1058,1058,1058,1058,1058,1058,1058,nurology,Neurology speciality,C0027855
1189,legal medicine,Biomedical Occupation or Discipline,1189,1189,1189,1189,1189,1189,1189,legal medicins,legal medicine discipline,C0086532
1264,neuroanatomy,Biomedical Occupation or Discipline,1264,1264,1264,1264,1264,1264,1264,neuro anatomy,Neuroanatomy,C0027816
1267,neuropsychiatry,Biomedical Occupation or Discipline,1267,1267,1267,1267,1267,1267,1267,neurol psychiatr,Neuropsychiatry,C0870956
1277,neonatology,Biomedical Occupation or Discipline,1277,1277,1277,1277,1277,1277,1277,neonatalogy,Neonatology,C0027621
1287,neuroscience,Biomedical Occupation or Discipline,1287,1287,1287,1287,1287,1287,1287,neurosciense,Neuroscience discipline,C0027910
1288,neurosurgery,Biomedical Occupation or Discipline,1288,1288,1288,1288,1288,1288,1288,neurosurgeru,Science of neurosurgery,C0027926
1290,neuropsychology,Biomedical Occupation or Discipline,1290,1290,1290,1290,1290,1290,1290,neuropsichology,Neuropsychology,C0027903
1332,medicine science,Biomedical Occupation or Discipline,1332,1332,1332,1332,1332,1332,1332,medecine sciences,Medicine,C0025118
1333,medical informatics,Biomedical Occupation or Discipline,1333,1333,1333,1333,1333,1333,1333,medical inforatics,Clinical Informatics,C0008960
1334,medical informatic,Biomedical Occupation or Discipline,1334,1334,1334,1334,1334,1334,1334,medical information,Medical Informatics,C0025088
1338,medicine chinese traditional,Biomedical Occupation or Discipline,1338,1338,1338,1338,1338,1338,1338,medicine chinese triditional,Traditional Chinese Medicine,C0025124
1395,microbiology,Biomedical Occupation or Discipline,1395,1395,1395,1395,1395,1395,1395,microbilogy,Science of Microbiology,C0025952
