adjustedQueryTerm,preferredTerm,SemanticTypeName,NewSemanticTypeName,
internal medicine journal,,Journal-related,,
dentistry journal,,Journal-related,,
indian journal of pharmacology,,Journal-related,,
br j nutr,,Journal-related,,
br j cancer,,Journal-related,,
oncotype,Oncotype DX Breast Cancer Assay,Laboratory Procedure,,
pharmacogenomics tests,Pharmacogenomic Testing,Laboratory Procedure,,
ijcr,,Mammal,,
pillbox,,Manufactured Object,,
toxmap,,Manufactured Object,,
use of hip protector,Hip protector,Medical Device,,
prosthetics,Prosthesis,Medical Device,,
j dent res,,Medical Device,,
kinesio,Kinesio Tape,Medical Device,,
teen depression,Mental Depression,Mental or Behavioral Dysfunction,,
paranoid,Paranoia,Mental or Behavioral Dysfunction,,
tic desordens,Tic disorder,Mental or Behavioral Dysfunction,,
nomophobia,Phobic anxiety disorder,Mental or Behavioral Dysfunction,,
dislexia,Dyslexia,Mental or Behavioral Dysfunction,,
opioid epidemic,Opiate Addiction,Mental or Behavioral Dysfunction,,
alcholism,"Alcoholic Intoxication, Chronic",Mental or Behavioral Dysfunction,,
disartria,Dysarthria,Mental or Behavioral Dysfunction,,
schizofrenia,Schizophrenia,Mental or Behavioral Dysfunction,,
cancer de mama,Malignant neoplasm of breast,Neoplastic Process,,
cholangiocarcinoma treatment,Cholangiocarcinoma,Neoplastic Process,,
colorectal cancer stage,Colorectal Carcinoma,Neoplastic Process,,
leucemia,leukemia,Neoplastic Process,,
polcythemia,Polycythemia Vera,Neoplastic Process,,
canser,Malignant Neoplasms,Neoplastic Process,,
rxnav,,"Nucleic Acid, Nucleoside, or Nucleotide",,
rxnav,,"Nucleic Acid, Nucleoside, or Nucleotide",,
history of medicine division,,Occupation or Discipline,,
nlm strategic planning,,Occupational Activity,,
one search,,Occupational Activity,,
bemer micro circulation,Microcirculation,Organ or Tissue Function,,
amoxilin,Amoxicillin,Organic Chemical|Antibiotic,,
hyaluronic,Hyaluronic Acid,Organic Chemical|Biologically Active Substance|Pharmacologic Substance,,
omega3,Omega-3 Fatty Acids,Organic Chemical|Biologically Active Substance|Pharmacologic Substance,,
hialuronic acid,Hyaluronic Acid,Organic Chemical|Biologically Active Substance|Pharmacologic Substance,,
pmid,,Organic Chemical|Biomedical or Dental Material,,
tabacco,Tobacco,Organic Chemical|Hazardous or Poisonous Substance,,
melatonin sleep,Melatonin,Organic Chemical|Hormone|Pharmacologic Substance,,
pmid,,Organic Chemical|Pharmacologic Substance,,
treximet cost,Treximet,Organic Chemical|Pharmacologic Substance,,
clopidogrel 2016,clopidogrel,Organic Chemical|Pharmacologic Substance,,
gabapentin class,gabapentin,Organic Chemical|Pharmacologic Substance,,
dobutamine pump,Dobutamine,Organic Chemical|Pharmacologic Substance,,
tanoxifen,Tamoxifen,Organic Chemical|Pharmacologic Substance,,
trazadone,Trazodone,Organic Chemical|Pharmacologic Substance,,
ibuprofen/ae,Ibuprofen,Organic Chemical|Pharmacologic Substance,,
chlortalidonum,Chlorthalidone,Organic Chemical|Pharmacologic Substance,,
havidol,Parody,Organic Chemical|Pharmacologic Substance,,
herion,Heroin,Organic Chemical|Pharmacologic Substance|Hazardous or Poisonous Substance,,
vitamina k,Vitamin K,Organic Chemical|Vitamin,,
vitimin c,Ascorbic Acid,Organic Chemical|Vitamin|Pharmacologic Substance,,
body composition in women,Body Composition,Organism Attribute,,
child health and nutrition,Child Nutritional Physiological Phenomena,Organism Function,,
breast feeding women,Breast Feeding,Organism Function,,
schlerosi,Sclerosis,Pathologic Function,,
drugs dosage and interacations,Drug Interactions,Pathologic Function,,
infarto,Infarction,Pathologic Function,,
infertilite,Infertility,Pathologic Function,,
antioxidant 264,Antioxidants,Pharmacologic Substance,,
antiarrhythmic classes,Anti-Arrhythmia Agents,Pharmacologic Substance,,
medicina,Pharmaceutical Preparations,Pharmacologic Substance,,
frankenstien,,Plant,,
nejm,,Plant,,
nejm,,Plant,,
herbs as medicine,Medicinal Herbs,Plant,,
pictures of nursing,,Professional or Occupational Group,,
toxtutor,,Professional or Occupational Group,,
nurs,Nurses,Professional or Occupational Group,,
the yellow paper,,Qualitative Concept,,
accidente cerebrovascular,Cerebrovascular,Qualitative Concept,,
anatomia,anatomic,Qualitative Concept,,
geriatria,Geriatric (qualifier),Qualitative Concept,,
data tools and statistics,Statistic (data),Quantitative Concept,,
use of health statistics,Health Statistics,Quantitative Concept,,
data tools statistics,Statistic (data),Quantitative Concept,,
healthcare policy,Health Policy,Regulation or Law,,
hippocratic,,Regulation or Law,,
clinical trial phases,Clinical Trials,Research Activity,,
clinical queries,Clinical Research,Research Activity,,
clinical trials endpoints,Clinical Trials,Research Activity,,
standardization processes,Standardization,Research Activity,,
tutorial,,Research Activity,,
tutorial,,Research Activity,,
genome project,Human Genome Project,Research Activity,,
tutorials,,Research Activity,,
tutorials,,Research Activity,,
hsric,,Research Activity,,
cancer du sein,Cancer Pain,Sign or Symptom,,
shoulder joint pain and causes,Shoulder joint pain,Sign or Symptom,,
pelvic pain model,Pelvic Pain,Sign or Symptom,,
terrorist,Terrorism,Social Behavior,,
uptodate,Update,Temporal Concept,,
diabetes diets,Diabetic Diet,Therapeutic or Preventive Procedure,,
angioplasty risk,Angioplasty,Therapeutic or Preventive Procedure,,
cbct,Cognitive Therapy,Therapeutic or Preventive Procedure,,
hipnose,Hypnotherapy,Therapeutic or Preventive Procedure,,
vertebroplasty needle,Vertebroplasty,Therapeutic or Preventive Procedure,,
posttransplant,Transplantation,Therapeutic or Preventive Procedure,,
fall prevention elderly,Fall prevention,Therapeutic or Preventive Procedure,,
low carb diet,"Diet, Carbohydrate-Restricted",Therapeutic or Preventive Procedure,,
bemer therapy,gene therapy,Therapeutic or Preventive Procedure,,
respiratory care journal,,Therapeutic or Preventive Procedure,,
acl reconstruction,External ear reconstruction,Therapeutic or Preventive Procedure,,
musicoterapia,Music Therapy,Therapeutic or Preventive Procedure,,
photobiomodulation,Low-Level Light Therapy,Therapeutic or Preventive Procedure,,
native american medicine,Native American Healing,Therapeutic or Preventive Procedure,,
anestesia,Anesthesia procedures,Therapeutic or Preventive Procedure,,
musculos,Muscle,Tissue,,
