AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
abemaciclib,abemaciclib,Organic Chemical|Pharmacologic Substance,C3852841,,,
aben,ABEN,Organic Chemical,C0286802,,,
fir,Abies,Plant,C0330195,,,
abies concolor,Abies concolor,Plant,C1087632,,,
abilify,Abilify,Organic Chemical|Pharmacologic Substance,C1170019,,,
balance ability,Ability to balance,Finding,C0560184,,,
communication ability,Ability to communicate,Finding,C0565998,,,
ability to taste,Ability to taste,Finding,C1301555,,,
abiraterone,abiraterone,Organic Chemical|Pharmacologic Substance,C0754011,,,
abiraterone acetate,abiraterone acetate,Organic Chemical|Pharmacologic Substance,C2607886,,,
ablation,Ablation,Therapeutic or Preventive Procedure,C0547070,,,
ams,ABLEPHARON-MACROSTOMIA SYNDROME,Disease or Syndrome,C1860224,,,
abnormal behavior,Abnormal behavior,Mental or Behavioral Dysfunction,C0233514,,,
problem behavior,Abnormal behavior,Mental or Behavioral Dysfunction,C0233514,,,
breathing problems,Abnormal breathing,Finding,C1260922,,,
discoloration,Abnormal color,Finding,C0332572,,,
degenerative,Abnormal degeneration,Pathologic Function,C0011164,,,
abnormal delivery,Abnormal delivery,Pathologic Function,C0549629,,,
male sexual dysfunction,Abnormal male sexual function,Mental or Behavioral Dysfunction,C0278097,,,
altered mental status,Abnormal mental state,Mental or Behavioral Dysfunction,C0278061,,,
abnormal uterine bleeding,Abnormal uterine bleeding,Pathologic Function,C3650625,,,
blood pressure abnormality,abnormalities of blood pressure,Finding,C0694537,,,
mitochondrial dysfunction,Abnormality of mitochondrial metabolism,Finding,C4021734,,,
breast abnormalities,Abnormality of the breast,Anatomical Abnormality,C4025829,,,
dental anomalies,Abnormality of the dentition,Finding,C0262444,,,
pectus deformities,Abnormality of the sternum,Anatomical Abnormality,C1860493,,,
abo blood groups,ABO blood group system,Classification,C0000778,,,
abo system,ABO blood group system,Classification,C0000778,,,
aborigines,aborigines,Population Group,C0935542,,,
aboriginal,aborigines,Population Group,C0935542,,,
abortus,Aborted Fetus (structure),Embryonic Structure,C0000781,,,
aborted fetus,Aborted Fetus (structure),Embryonic Structure,C0000781,,,
multiple abortions,abortion (non-specific) multiple,Finding,C0740675,,,
abortions law,abortion laws,Regulation or Law,C0000791,,,
criminal abortion,"Abortion, Criminal",Finding,C0000804,,,
recurrent miscarriage,"Abortion, Habitual",Disease or Syndrome,C0000809,,,
recurrent abortion,"Abortion, Habitual",Disease or Syndrome,C0000809,,,
septic abortion,"Abortion, Septic",Pathologic Function,C0000817,,,
drug information,About Your Medicines,Intellectual Product,C1456676,,,
abr,ABR gene,Gene or Genome,C1412101,,,
abraxane,Abraxane,Organic Chemical|Pharmacologic Substance,C1564985,,,
abrin,Abrin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0000829,,,
abruptio placenta,Abruptio Placentae,Pathologic Function,C0000832,,,
placenta detachment,Abruptio Placentae,Pathologic Function,C0000832,,,
placenta abruption,Abruptio Placentae,Pathologic Function,C0000832,,,
placental abruption,Abruptio Placentae,Pathologic Function|Pathologic Function|Pathologic Function,C0000832,,,
abcess,Abscess,Disease or Syndrome,C0000833,,,
abscess,Abscess,Disease or Syndrome,C0000833,,,
breast abscess,Abscess of breast,Disease or Syndrome,C0151463,,,
hand abscess,Abscess of hand,Disease or Syndrome,C0239810,,,
nasal septal abscess,Abscess of nasal septum,Disease or Syndrome,C0264264,,,
ovarian abcess,Abscess of ovary,Disease or Syndrome,C0269035,,,
pancreatic abscess,Abscess of pancreas,Disease or Syndrome,C0238334,,,
absence epilepsy,Absence Epilepsy,Disease or Syndrome,C0014553,,,
absence seizure,Absence Epilepsy,Disease or Syndrome,C0014553,,,
childhood absence epilepsy,Absence Epilepsy,Disease or Syndrome,C0014553,,,
petit mal,Absence Epilepsy,Disease or Syndrome,C0014553,,,
petit mal seizures,Absence Epilepsy,Disease or Syndrome,C0014553,,,
absence,Absent,Functional Concept,C0332197,,,
absenteeism,Absenteeism,Individual Behavior,C0000849,,,
anc,Absolute neutrophil count,Laboratory Procedure,C0948762,,,
abstinence,Abstinence,Therapeutic or Preventive Procedure,C3843422,,,
abstinence syndrome,Abstinence Syndrome,Disease or Syndrome,C1332133,,,
abstract,Abstracting,Occupational Activity,C0000857,,,
abstracts,Abstracting,Occupational Activity,C0000857,,,
abstral,Abstral,Organic Chemical|Pharmacologic Substance,C2961835,,,
abufene,Abufne,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",C1448340,,,
laxative abuse,Abuse of laxatives,Mental or Behavioral Dysfunction,C0149720,,,
abutments,abutment,"Body Part, Organ, or Organ Component",C0545406,,,
ac/ds,AC Followed by Docetaxel Regimen,Therapeutic or Preventive Procedure,C4522296,,,
acc1,ACACA gene,Gene or Genome,C1412104,,,
academics,Academia (organization),Organization,C1510747,,,
academic performance,Academic Performance,Qualitative Concept,C0036373,,,
acai berry,Acai Berries,Food,C3850037,,,
acai,Acai extract,Organic Chemical|Pharmacologic Substance,C2368977,,,
acalabrutinib,acalabrutinib,Organic Chemical|Pharmacologic Substance,C4078312,,,
acamprosate,acamprosate,Organic Chemical|Pharmacologic Substance,C0284941,,,
acanthocyte,Acanthocytes,Cell,C0000886,,,
acanthosis nigricans,Acanthosis Nigricans,Disease or Syndrome,C0000889,,,
acarbose,Acarbose,Organic Chemical|Pharmacologic Substance,C0050393,,,
acarbose and,Acarbose,Organic Chemical|Pharmacologic Substance,C0050393,,,
pivka ii,acarboxy prothrombin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0950248,,,
acardiac twin,Acardius,Congenital Abnormality,C0266717,,,
accelerator,accelerator,Manufactured Object,C0681602,,,
accelerometer,Accelerometers,Medical Device,C0178951,,,
access,Access,Spatial Concept,C0444454,,,
accessed,Access,Spatial Concept,C0444454,,,
health services access,Access to health services,Finding,C1822523,,,
accession number,Accession Number (identifier),Intellectual Product,C1510755,,,
accessory navicular,Accessory navicular bone of foot (disorder),Congenital Abnormality,C1267087,,,
navicular accessory,Accessory navicular bone of foot (disorder),Congenital Abnormality,C1267087,,,
spinal accessory nerve injury,Accessory Nerve Injuries,Injury or Poisoning,C0161410,,,
accessory nerve,Accessory nerve structure,"Body Part, Organ, or Organ Component",C0000905,,,
cranial nerve xi,Accessory nerve structure,"Body Part, Organ, or Organ Component",C0000905,,,
emergency department,Accident and Emergency department,Health Care Related Organization|Manufactured Object,C0562508,,,
emergency room,Accident and Emergency department,Health Care Related Organization|Manufactured Object,C0562508,,,
burning,Accident caused by unspecified fire,Phenomenon or Process,C0000912,,,
fire,Accident caused by unspecified fire,Phenomenon or Process,C0000912,,,
dust storm,Accident due to dust storm,Injury or Poisoning,C0375743,,,
accidents work,Accident while engaged in work-related activity,Injury or Poisoning,C0586557,,,
work accident,Accident while engaged in work-related activity,Injury or Poisoning,C0586557,,,
fall,Accidental Falls,Injury or Poisoning,C0000921,,,
falls,Accidental Falls,Injury or Poisoning,C0000921,,,
unintentional injuries,Accidental injury,Injury or Poisoning,C0151736,,,
accidents,Accidents,Phenomenon or Process,C0000924,,,
accident,Accidents,Phenomenon or Process,C0000924,,,
accreditation,Accreditation,Governmental or Regulatory Activity,C0000941,,,
accupril,Accupril,Organic Chemical|Pharmacologic Substance,C0244580,,,
accuracy,Accurate (qualifier),Qualitative Concept,C0443131,,,
accutane,Accutane,Organic Chemical|Pharmacologic Substance,C0699581,,,
ace2,ACE2 gene,Gene or Genome,C1422064,,,
acebutolol,Acebutolol,Organic Chemical|Pharmacologic Substance,C0000946,,,
aceclofenac,aceclofenac,Organic Chemical|Pharmacologic Substance,C0050403,,,
acenocoumarol,Acenocoumarol,Organic Chemical|Pharmacologic Substance,C0000956,,,
acepromazine maleate,Acepromazine Maleate,Organic Chemical|Pharmacologic Substance,C0000960,,,
acer maximowiczianum,Acer maximowiczianum,Plant,C1198284,,,
acesulfame potassium,Acesulfame potassium,Organic Chemical|Pharmacologic Substance,C0101048,,,
acetaminophen,Acetaminophen,Organic Chemical|Pharmacologic Substance,C0000970,,,
apap,Acetaminophen,Organic Chemical|Pharmacologic Substance,C0000970,,,
paracetamol,Acetaminophen,Organic Chemical|Pharmacologic Substance,C0000970,,,
acetaminofen,Acetaminophen,Organic Chemical|Pharmacologic Substance,C0000970,,,
acetaminophen and codeine,Acetaminophen / Codeine,Pharmacologic Substance,C2351132,,,
hydrocodone acetaminophen,Acetaminophen / Hydrocodone,Pharmacologic Substance,C0717367,,,
hydrocodone/acetaminophen,Acetaminophen / Hydrocodone,Pharmacologic Substance,C0717367,,,
oxycodone and acetaminophen,Acetaminophen / Oxycodone,Pharmacologic Substance,C0717368,,,
tramadol and paracetamol,Acetaminophen / Tramadol,Pharmacologic Substance,C1169987,,,
acetaminophen overdose,Acetaminophen overdose,Injury or Poisoning,C0572025,,,
acetanilide,acetanilide,Organic Chemical|Pharmacologic Substance,C0000973,,,
acetazolamide,Acetazolamide,Organic Chemical|Pharmacologic Substance,C0000981,,,
acetic acid,Acetic Acid,"Organic Chemical|Pharmacologic Substance|Indicator, Reagent, or Diagnostic Aid",C0000983,,,
acetobacter,Acetobacter,Bacterium,C0000990,,,
aha,acetohydroxamic acid,Organic Chemical|Pharmacologic Substance,C0050451,,,
acetone,Acetone,Organic Chemical|Pharmacologic Substance,C0001002,,,
acetonitrile,Acetonitriles,Organic Chemical,C0001004,,,
aana,acetylalanine 4-nitroanilide,"Amino Acid, Peptide, or Protein",C0050493,,,
acetylation,Acetylation,Molecular Function,C0001038,,,
acetylcholine,Acetylcholine,Organic Chemical|Biologically Active Substance|Pharmacologic Substance,C0001041,,,
acetylcysteine,Acetylcysteine,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0001047,,,
n-acetylcysteine,Acetylcysteine,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0001047,,,
nac,Acetylcysteine,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0001047,,,
achatina fulica,Achatina fulica,Eukaryote,C0998121,,,
achilles tendinitis,Achilles bursitis,Disease or Syndrome,C0149846,,,
achilles tendonitis,Achilles bursitis,Disease or Syndrome,C0149846,,,
